compound,Balb/c IL-12,Fura-2,CD63
#634,1.78,100,100
2C217,0.58999997,-14.3,0.44
2C228,0.47999999,58.310001,60.900002
2C229,1.83,102.06,156.89999
2C230,1.1,-13.28,0.029999999
2C235,1.03,100.6,17.940001
2C236,1.14,-14.18,0.95999998
2C237,1.22,-11.53,10.84
2C238,2.27,117.58,111.99
2E241,1.7,-28.33,-0.56999999
2E281,1.16,-10.92,0.72000003
2E287,0.63,-12.69,0.22
2F186,1.1900001,-39.32,-2.03
2F238,1.37,-5.3800001,-0.37
2G176,3.5,147.36,156.33
2G179a,1.75,83.620003,30.09
2G179b,3.4400001,244.99001,185.28
2G179c,3,178.44,149.23
2G179d,2.8699999,262.38,141.56
2G179e,3.0799999,177.77,212.97
2G179f,2.74,175.45,169.91
2G179g,1.58,85.339996,39.830002
2G179h,3.1700001,136.72,128.84
2G182,1.4,-11.41,-0.87
2G198,4.1399999,103.88,111.46
2G201,1.4299999,-2.6300001,0.75
2G211,1.39,-6.77,2.3900001
2G222,1.37,-14.08,5.1700001
2G223,1.47,-12.45,4.73
2G224,1.42,-13.06,3.3800001
2G225,1.51,-14.23,1.99
2G244,0.81,78.5,106.89
2G245,1.12,76.709999,99.019997
2G246b,1.67,74.18,154.11
2G249,2.27,79.25,100.37
2G252,1.04,-6.3899999,1.33
2G254,0.92000002,-7.8699999,1.74
2G255,0.72000003,-35.25,0.14
2G258,1.03,102.95,81.07
2G270,1.9,73.620003,70.32
2G272,3.1099999,147.48,210.41
2G274,2.1099999,-9.6300001,-0.70999998
2G275,1.59,-7.0100002,1.5
2G279,1.84,-10.79,1.25
2G280,1.71,-3.1199999,0.41999999
2G284,3.79,115.74,338.91
2G300h,1.01,8.1400003,30.549999
2H013,1.4299999,-31.32,-1.25
2H064,4.1199999,121.97,113.3
2H069,2,99.730003,60.439999
2H076,1.11,97.029999,98.25
2H079,1.85,120.97,94.949997
2K003,1.0599999,2,2.71
2K005,1.45,69.099998,49.619999
2K016,1.12,-9.4300003,16.1
2K022,1.12,4.0599999,3.6400001
2K033,2.5599999,134.14999,67.089996
2K034,1.1799999,94.739998,114.45
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
